,RSS,_kAktDephos,_kAktPhos_kcat,_kAktPhos_km,_kFourEBP1Phos_kcat,_kFourEBP1Phos_km,_kIRS1Dephos_kcat,_kIRS1Dephos_km,_kIRS1Phos_kcat,_kIRS1Phos_km,_kPI3KDephos,_kPI3KPhos_kcat,_kPI3KPhos_km,_kPras40PhosByAkt_kcat,_kPras40PhosByAkt_km,_kS6KPhosS229_kcat,_kS6KPhosS229_km,_kS6KT389Dephos,_kS6KT389Phos_kcat,_kS6KT389Phos_km,_kTSC2Dephos,_kTSC2Phos_kcat,_kTSC2Phos_km,_pPI3K
452,14.3576,0.000109936,15.2426,1087.24,220.71,8263.85,0.0419013,9504.8,0.00446345,0.00010057100000000001,1279.37,0.0178196,4437.65,1014.3,5008.84,318.971,681.279,10.6253,2015.54,6004.57,0.000118141,3107.63,1547.71,6868.63
453,14.3576,0.00010073100000000001,6944.16,6895.27,74.7389,2789.4,0.0213603,8723.62,0.00414172,0.000108597,4132.9,0.43703000000000003,9984.43,1587.3,7715.03,1118.93,8798.13,557.687,9151.25,534.252,0.000105088,5103.08,6.485469999999999,307.775
454,14.3576,0.0001,276.935,2335.52,267.37,9931.32,0.125617,5051.78,0.00461582,0.0001,3595.25,0.00052346,8238.76,4.76595,18.0604,2900.07,31.191,9075.95,1303.96,0.0001,0.0005488,9997.18,64.1155,2289.16
455,14.3578,0.0001,59.4633,1468.36,209.953,7898.61,0.00039920900000000003,3360.61,0.00432464,0.0001,5215.53,0.000411313,9296.76,1509.54,7330.49,9321.53,700.3939999999999,5661.06,806.154,0.00534273,0.000151282,8705.55,43.9701,9775.06
456,14.357999999999999,0.000105462,6022.75,6217.44,115.182,4307.33,0.037355900000000004,8169.1,0.004213399999999999,0.0001,8551.89,0.41734799999999994,9617.5,1323.96,6433.24,5171.26,8333.79,7612.06,1084.1,0.0264969,0.000100005,1924.79,32.132,662.4889999999999
457,14.357999999999999,0.0001,996.367,635.2919999999999,86.2304,3213.75,0.000113931,8510.02,0.00440513,0.0001,5718.3,0.0219718,5442.83,778.4989999999999,3798.11,6906.32,4566.09,32.9421,2258.95,2213.77,0.000100011,8279.04,135.326,277.673
458,14.3581,0.000101054,2814.22,3909.74,113.64299999999999,4226.11,0.00010232600000000001,9266.67,0.00456812,0.0001,4999.45,2.0969700000000002,9966.0,618.422,2990.62,818.827,9969.98,44.7599,2197.64,1570.0,0.000101283,9929.54,17.3204,521.236
459,14.3583,0.0001,612.341,1542.43,264.512,9930.87,0.0108059,4362.79,0.00454403,0.0001,3861.21,0.023571400000000003,7052.07,1611.48,7847.17,8826.92,7579.2,298.393,8896.16,962.663,0.000102919,3426.3,8253.64,728.273
460,14.3585,0.000100033,3046.2,9238.28,134.839,5042.13,0.00025172,3351.24,0.00465846,0.0001,2129.16,0.15040599999999998,9690.05,1699.75,8276.47,296.572,1655.54,5501.27,2494.24,10.2837,0.000442981,7818.4,21.0507,481.375
461,14.3586,0.0001,53.0279,2482.89,64.3597,2363.33,0.000101229,7282.35,0.00440395,0.0001,2800.95,0.0844535,9745.77,1617.22,8006.04,61.5933,30.2657,5392.61,2260.49,8.783710000000001,0.00010253600000000001,9440.52,2.0003,9926.19
462,14.3587,0.0001,422.19,5152.36,28.0723,1043.34,0.000100005,1587.92,0.00413599,0.000106345,7778.55,1.92605,9059.47,228.628,1107.07,63.9439,1462.51,199.8,8263.93,1349.72,0.000117111,4069.3,8.70055,7140.36
463,14.3588,0.000100005,1210.19,1965.66,15.6846,576.395,0.0006167000000000001,565.347,0.00467938,0.000134652,7877.24,0.000149095,9998.44,164.854,792.435,3228.5,0.0001,6583.96,927.275,0.00015566200000000001,0.00012231700000000001,2155.68,301.79900000000004,972.525
464,14.359000000000002,0.0001,71.5264,676.931,50.104,1866.74,0.00010790700000000001,677.8939999999999,0.00412547,0.0001,4314.64,0.000106502,2461.91,180.67,876.681,494.356,48.8528,77.6114,5427.1,2279.39,0.000293091,2328.13,70.0231,3065.08
465,14.359000000000002,0.00010103,730.194,7514.07,86.4337,3236.9,0.0017244,775.056,0.00455175,0.0001,1013.59,0.00769439,8892.62,576.184,2789.8,74.4602,307.154,401.94,9874.58,780.716,0.000353917,9148.14,537.432,790.183
466,14.3592,0.000113731,9804.52,6445.12,198.58900000000003,7423.77,0.000207358,1163.15,0.00415022,0.0001,3473.83,0.000101291,5784.01,123.426,593.323,9659.69,53.8748,1022.97,248.665,3.27821,0.00036631300000000006,732.572,15.0664,167.817
467,14.3593,0.000100008,550.395,8988.06,78.0577,2897.77,0.00035580400000000004,7587.81,0.00457459,0.0001,7707.51,0.18414,6629.22,1413.39,6893.34,741.79,2366.65,521.904,4423.84,276.954,0.000100017,5140.03,9741.41,9526.73
468,14.3594,0.000100533,1069.16,5777.6,145.986,5475.67,0.0211122,7015.47,0.00440944,0.0001,9968.07,0.27161199999999996,1199.9,1097.88,5331.24,315.019,3413.77,310.535,2725.2,278.161,0.00010162100000000001,36.3358,0.43176099999999995,4062.75
469,14.3596,0.0001,812.747,2964.75,256.899,9655.69,0.00183392,5791.29,0.00407871,0.0001,4914.05,0.392896,8831.16,1047.96,5085.22,1464.22,8596.55,7207.79,1629.03,2.69445,0.000162731,2629.67,157.763,1347.33
470,14.3596,0.0001,2899.72,7108.74,66.184,2466.92,0.000128541,9369.44,0.004242,0.0001,8654.87,0.0001,3489.92,220.205,1063.83,9561.25,111.81,446.605,1718.83,121.491,0.00047009,6473.0,134.524,1585.76
471,14.3598,0.0001,2026.77,3185.54,53.879,2018.73,0.00159477,371.455,0.00416451,0.0001,6582.77,0.140976,8785.5,50.2985,238.862,1214.43,1148.19,151.692,6994.72,1501.61,0.000100945,1570.54,114.78299999999999,776.936
472,14.3598,0.00010019,2487.52,1504.42,166.609,6216.17,0.0374475,9633.82,0.00398948,0.0001,6780.06,0.0566408,9811.8,1840.16,8895.67,6834.12,5629.0,5471.35,790.7819999999999,0.0152496,0.00010436700000000001,6691.03,1134.95,304.133
473,14.3598,0.0001,7840.94,9981.54,60.0479,2238.41,0.000644679,8641.83,0.00410704,0.00011970299999999999,4531.49,0.18291,1337.09,1998.93,9717.44,42.4837,8813.93,9899.33,1413.42,0.00224758,0.00010102,5183.31,2.05196,433.098
474,14.3602,0.0001,2083.97,4131.69,8.8105,323.534,0.00765378,8981.64,0.00459994,0.0001,8167.7,1.35914,9862.0,1018.05,4927.44,548.001,7698.6,319.836,8272.12,861.721,0.000100952,207.43599999999998,0.7591439999999999,1178.12
475,14.3602,0.0001,9559.22,7395.43,4.17255,149.90200000000002,0.234361,8217.12,0.00435929,0.0001,1090.37,0.000653242,9913.06,1846.43,9019.32,272.35400000000004,9.89071,1986.86,8186.95,128.614,0.000105863,8410.34,1109.72,63.2122
476,14.3603,0.000135926,4023.69,1299.68,159.047,5920.52,0.000328575,1881.11,0.00406967,0.0001,4694.57,0.0239144,9755.61,225.637,1094.72,1767.14,674.563,9638.13,4875.94,11.7996,0.00210488,5597.51,12.3088,115.67399999999999
477,14.3605,0.000105379,898.625,4811.54,0.436249,10.5564,0.00261411,5262.91,0.00447796,0.0001,2985.26,0.215211,4882.36,1354.32,6650.33,510.876,9390.53,152.119,8283.53,1795.16,0.000124206,5230.51,432.334,1231.92
478,14.3607,0.0001,7288.14,7950.08,32.6926,1214.71,0.0439759,8901.52,0.00453661,0.0001,9992.34,0.158889,8572.28,868.99,4199.35,3782.23,6179.02,184.33,4694.22,841.813,0.000103064,3478.25,473.56699999999995,823.6669999999999
479,14.3607,0.0001,4.44054,850.8919999999999,88.914,3311.08,0.00017831400000000003,1520.04,0.00453442,0.0001,676.9110000000001,0.153115,9490.39,1708.77,8195.69,27.6678,509.464,108.182,3985.39,1195.46,0.00010151200000000001,4700.12,708.595,9861.59
480,14.3607,0.0001,3731.04,6663.55,207.229,7812.42,0.12232799999999999,6594.94,0.00419101,0.0001,9648.48,0.350892,5016.54,599.2280000000001,2898.62,2711.98,8341.59,829.5419999999999,7470.23,291.976,0.0001,6133.74,6.1432,1300.78
481,14.3609,0.000100356,860.8889999999999,1079.73,193.28799999999998,7233.39,0.000160657,2356.94,0.00419053,0.0001,9953.64,0.0001,7538.06,405.483,1949.93,4419.49,0.0205825,46.9085,9969.92,6933.11,0.00011873299999999999,9045.0,503.539,921.432
482,14.3609,0.000110083,748.178,8536.53,232.083,8763.26,0.000586914,989.951,0.00443101,0.0001,2468.51,0.0195426,9661.0,513.597,2474.23,6971.8,9574.34,8201.69,2357.08,4.805219999999999,0.00010694,9893.24,352.82099999999997,2090.0
