time	FourE_BP1_obs	FourE_BP1pT37_46_obs	Akt_obs	AktpS473_obs	AktpT308_obs	Coomassie _obs	ERK_obs	GAPDH_obs	IRS1_obs	IRS1pS636_639_obs	PRAS40_obs	PRAS40pS183_obs	PRAS40pT246_obs	S6K_obs	S6KpT229_obs	S6KpT389_obs	TSC2_obs	TSC2pT1462_obs	Insulin_indep
49.655172	1.521658	0.798703	2.22551	0.980655	0.931432	1.0	2.445249	1.016628	2.421407	1.763746	1.933447	0.984081	0.869943	2.498316	1.580315	1.761239	2.030623	0.93564	1.0
53.793103	1.516028	0.806955	2.22916	1.002677	0.968158	1.0	2.454754	1.016443	2.413285	1.748404	1.938594	0.994755	0.874292	2.523113	1.605885	1.801653	2.037846	0.9501	1.0
57.931034	1.510399	0.815206	2.232809	1.024699	1.004884	1.0	2.464259	1.016257	2.405163	1.733063	1.943741	1.005428	0.878642	2.547911	1.631455	1.842067	2.045069	0.96456	1.0
62.068966	1.504821	0.815385	2.229351	1.035958	1.014743	1.0	2.453141	1.011626	2.38293	1.698198	1.942214	0.996185	0.878157	2.552012	1.630525	1.843562	2.03312	0.967594	1.0
66.206897	1.499294	0.807492	2.218786	1.036455	0.997734	1.0	2.4214	1.002549	2.346586	1.64381	1.934015	0.967027	0.872839	2.535418	1.603095	1.806138	2.002	0.959203	1.0
70.344828	1.493766	0.799598	2.208221	1.036952	0.980726	1.0	2.389659	0.993471	2.310243	1.589422	1.925815	0.937869	0.86752	2.518824	1.575665	1.768714	1.97088	0.950812	1.0
74.482759	1.488239	0.791705	2.197655	1.037449	0.963717	1.0	2.357918	0.984394	2.273899	1.535033	1.917616	0.908711	0.862202	2.50223	1.548235	1.73129	1.93976	0.942421	1.0
78.62069	1.482712	0.783812	2.18709	1.037947	0.946708	1.0	2.326177	0.975317	2.237555	1.480645	1.909416	0.879553	0.856883	2.485636	1.520805	1.693865	1.908639	0.93403	1.0
82.758621	1.477185	0.775919	2.176525	1.038444	0.9297	1.0	2.294436	0.96624	2.201211	1.426257	1.901217	0.850395	0.851565	2.469042	1.493375	1.656441	1.877519	0.925639	1.0
86.896552	1.471658	0.768025	2.165959	1.038941	0.912691	1.0	2.262695	0.957163	2.164868	1.371869	1.893017	0.821237	0.846246	2.452449	1.465945	1.619017	1.846399	0.917248	1.0
91.034483	1.466937	0.763102	2.162624	1.041357	0.903379	1.0	2.241659	0.960723	2.133234	1.337143	1.890133	0.803697	0.848063	2.443975	1.453885	1.590042	1.832928	0.916546	1.0
95.172414	1.464637	0.767087	2.18098	1.049531	0.917158	1.0	2.252734	1.002197	2.115733	1.361402	1.903196	0.821013	0.871286	2.459862	1.487934	1.586415	1.872405	0.938909	1.0
99.310345	1.462336	0.771072	2.199335	1.057705	0.930937	1.0	2.26381	1.043671	2.098231	1.385662	1.916259	0.838329	0.894509	2.475749	1.521982	1.582789	1.911883	0.961272	1.0
103.448276	1.460035	0.775057	2.217691	1.065879	0.944716	1.0	2.274886	1.085144	2.080729	1.409921	1.929321	0.855645	0.917732	2.491636	1.55603	1.579163	1.95136	0.983636	1.0
107.586207	1.457735	0.779041	2.236046	1.074053	0.958495	1.0	2.285961	1.126618	2.063228	1.43418	1.942384	0.872961	0.940956	2.507523	1.590079	1.575536	1.990838	1.005999	1.0
111.724138	1.455434	0.783026	2.254401	1.082227	0.972274	1.0	2.297037	1.168092	2.045726	1.45844	1.955447	0.890277	0.964179	2.52341	1.624127	1.57191	2.030315	1.028362	1.0
115.862069	1.453133	0.787011	2.272757	1.090401	0.986053	1.0	2.308113	1.209566	2.028224	1.482699	1.968509	0.907593	0.987402	2.539297	1.658176	1.568283	2.069793	1.050726	1.0
120.0	1.450833	0.790996	2.291112	1.098575	0.999832	1.0	2.319189	1.251039	2.010723	1.506959	1.981572	0.924909	1.010625	2.555185	1.692224	1.564657	2.10927	1.073089	1.0

0.0	1.417243	0.199792	2.141252	0.499811	0.543272	1.0	2.085768	1.369396	3.441216	0.578993	1.982395	0.415213	0.411185	1.991448	0.706546	0.388346	1.976354	0.681954	1.0
4.137931	1.427524	0.406731	2.13797	0.62686	0.622435	1.0	2.090563	1.351669	3.263135	0.723509	1.982351	0.545949	0.569613	2.033642	0.825464	0.52293	1.965987	0.718677	1.0
8.275862	1.437804	0.613669	2.134687	0.753909	0.701599	1.0	2.095358	1.333943	3.085054	0.868026	1.982307	0.676686	0.728041	2.075837	0.944383	0.657515	1.955621	0.7554	1.0
12.413793	1.448085	0.820608	2.131404	0.880959	0.780762	1.0	2.100153	1.316216	2.906974	1.012542	1.982263	0.807422	0.886469	2.118031	1.063301	0.7921	1.945254	0.792123	1.0
